symbol,nextearnings,priceobj,tprice
AAPL,2020-05-05,316.81,253.045
ACGL,2020-05-05,46.5,47.63
ACN,2020-06-25,189.04,149.94
ADBE,2020-06-11,341.08,294.61
ALRM,2020-05-12,63.67,45.7
AMAT,2021-02-17,74.76,39.18
AMD,2020-04-16,49.64,54.93
AMT,2020-04-30,255.36,206.76
AMZN,2020-04-23,2411.59,1948.837
AOS,2020-04-22,44.33,41.025
APPS,2020-06-10,10.33,7.2208
ARCC,2020-04-29,19.75,11.59
ARWR,2020-05-12,68.57,41.25
ATVI,2020-04-30,67.27,61.785
AVAV,2020-06-17,68.6,57.825
AVGO,2020-06-04,301.21,167.87
AYR,2020-04-30,29.2,32.2
AYX,2020-05-06,159.93,154.43
BA,2020-04-22,290.5,101.89
BABA,2020-05-11,1754.8,220.16
BHE,2020-04-22,37.0,28.09
BOX,2020-05-27,18.33,15.2
CCC,2020-05-06,23.5,21.485
CCI,No Data,0.0,148.02
CDLX,2020-05-07,89.25,57.64
CERN,2020-04-30,79.35,73.14
CMCSA,2020-04-22,51.31,41.53
COST,2020-05-28,323.54,301.3
CRM,2020-05-14,209.6,176.52
CRSP,2020-05-06,79.96,53.2701
CRWD,2020-07-16,72.35,38.63
CSCO,2020-05-13,52.86,40.1
DAL,2020-07-09,42.44,25.1301
DBX,2020-05-07,26.5,22.73
DDOG,2020-05-07,50.6,32.08
DGX,2020-04-22,98.07,87.75
DHR,No Data,0.0,123.81
DIS,2020-05-12,161.0,140.29
DLR,2020-04-23,133.38,131.54
DOCU,2020-06-04,86.15,77.32
EA,2020-05-05,119.73,111.35
EDIT,2020-05-18,37.57,22.84
EQIX,2020-04-29,668.0,644.785
ESPR,2020-04-29,92.27,55.54
ETN,2020-05-05,110.2,105.31
ETSY,2020-05-05,66.11,58.32
FB,2020-04-22,247.52,209.0
FIVN,2020-04-29,84.81,73.1
FSLY,2020-08-06,26.5,14.38
FVRR,2020-08-06,34.62,22.92
GBDC,2020-05-06,19.33,11.84
GILD,2020-04-30,74.41,76.5937
GLW,No Data,0.0,19.2
GOOGL,2020-04-22,1598.64,1091.19
GWRE,2020-06-09,116.8,96.4
HON,2020-04-17,160.33,140.59
HUBS,2020-05-06,201.05,196.04
IBM,2020-04-20,136.44,123.91
ILMN,2020-04-28,340.0,277.68
INFO,2020-06-30,67.76,64.39
IRBT,2020-04-28,57.4,49.06
ISRG,2020-04-16,585.08,507.94
KEYS,2020-05-27,111.5,82.74
LLY,2020-04-23,149.25,143.09
LVGO,2020-09-03,39.39,23.0
MA,2020-04-29,358.88,295.955
MDB,2020-06-03,145.64,105.73
MEET,2020-05-07,6.25,6.225
MMM,2020-04-28,172.67,160.15
MRNA,2020-05-06,33.1,28.63
MRVL,2020-05-21,28.7,22.43
MSFT,2020-04-23,196.97,168.99
MTCH,2020-05-06,88.53,76.8
MU,2020-06-25,60.4,46.17
NET,2020-11-05,23.04,24.03
NFLX,2020-04-20,378.51,315.47
NOW,2020-04-22,364.72,339.49
NUAN,2020-05-07,23.67,22.405
NVDA,2020-05-07,286.41,293.48
NVTA,2020-05-11,30.33,23.82
NXPI,2020-04-29,144.75,136.17
OKTA,2020-06-03,147.69,115.5
OLED,2020-04-30,202.88,161.26
ORCL,2020-06-17,50.89,47.27
PAYC,2020-04-22,301.5,192.39
PFPT,2020-04-23,141.65,99.92
PH,2020-04-30,218.89,214.0863
PINS,2020-05-14,29.82,23.64
PLUG,2020-05-12,5.62,4.0402
PRLB,2020-04-23,86.0,87.52
PS,2020-04-29,25.17,16.68
PSTG,2020-05-20,19.95,15.335
PTCT,2020-05-11,63.62,54.56
PTON,2020-05-28,37.45,26.515
PYPL,2020-04-22,131.58,113.84
QCOM,2020-04-29,98.68,61.19
REGN,2020-04-30,417.71,401.09
ROK,2020-04-22,187.72,128.56
ROKU,2020-05-06,147.34,141.8801
SBAC,2020-05-04,270.73,299.66
SBUX,2020-04-28,95.48,76.84
SE,2020-05-13,53.87,51.52
SHOP,2020-05-05,552.26,540.1
SMAR,2020-06-09,48.79,37.66
SNAP,2020-05-06,20.37,17.12
SNY,2020-04-24,55.65,41.65
SPLK,2020-05-21,166.11,116.23
SPNS,2020-05-11,22.44,22.38
SPOT,2020-05-05,149.28,145.795
SQ,2020-05-06,83.97,79.02
SSYS,2020-05-19,19.0,15.46
STM,No Data,0.0,19.22
STX,2020-05-05,59.17,54.68
SVMK,2020-05-06,23.62,17.17
T,2020-04-22,40.04,37.38
TDOC,2020-05-12,134.5,168.04
TEAM,2020-04-30,161.0,144.57
TLND,2020-05-07,46.5,36.498
TSLA,2020-04-29,504.79,508.33
TSM,2020-07-16,64.75,56.32
TTD,2020-05-07,288.5,287.08
TTWO,2020-05-13,135.33,113.99
TWLO,2020-05-05,144.82,128.61
TWOU,2020-04-30,30.0,27.725
TWTR,2020-04-30,37.67,35.5
UBER,2020-05-28,49.27,32.825
UBX,2020-06-04,18.75,5.09
UPWK,2020-05-06,12.44,8.27
V,2020-04-22,227.94,190.26
VEEV,2020-05-21,177.35,140.585
VIRT,2020-05-07,19.9,21.55
VZ,2020-04-28,62.68,56.89
WDC,2020-05-05,80.15,68.84
WMT,2020-05-19,128.59,116.34
XLNX,2020-04-22,100.71,90.46
XOM,2020-04-24,52.74,33.12
YEXT,2020-05-28,18.79,14.95
Z,2020-04-29,53.31,65.33
ZM,2020-06-04,106.56,142.27
ZNGA,2020-04-29,7.72,7.345
ZS,2020-06-03,64.89,53.3
ZTS,2020-04-29,151.75,105.82
ZYNE,2020-05-12,17.14,2.9
